Title,Image,Address,Area,Distance,Dist_to_Airport,Score,Rating,add_info,add_info2,add_info3,add_info4,Price,Description,Room
Kimpton Alton Hotel - Fisherman's Wharf an IHG Hotel,https://exp.cdn-hotels.com/hotels/1000000/10000/1100/1047/ab7243f4_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,2700 JONES STREET San Francisco 94133 CA,Fisherman's Wharf,1.4 miles to city center,13 miles to San Francisco International Airport (SFO),8.8,Fabulous,Parking available,Pet-friendly,Spa,Gym,$215 ,Luxury hotel with bar/lounge near Ghirardelli Square ,Room 1 King Bed (Essential)
Hotel Zelos San Francisco a Viceroy Urban Retreat,https://exp.cdn-hotels.com/hotels/1000000/230000/225900/225819/db2a67e6_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,12 4th St. San Francisco 94103 CA,Downtown San Francisco,0.2 miles to city center,12 miles to San Francisco International Airport (SFO),8.6,Fabulous,Parking available,Pet-friendly,Gym,Restaurant,$295 ,4-star hotel with restaurant near Westfield San Francisco Centre ,Deluxe Room 1 King Bed
Days Inn by Wyndham San Francisco - Lombard,https://exp.cdn-hotels.com/hotels/1000000/10000/7800/7713/57aa9303_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,2358 Lombard St San Francisco 94123 CA,Cow Hollow,1.9 miles to city center,13 miles to San Francisco International Airport (SFO),,Good,Free parking,Airport transfer,Free breakfast,Bathtub,$99 ,Convenient to Presidio of San Francisco,Standard Room 1 Queen Bed
Aloft San Francisco Airport,https://exp.cdn-hotels.com/hotels/1000000/20000/14000/13950/94a31b91_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,401 E Millbrae Ave Millbrae 94030 CA,Millbrae,13 miles to city center,1.0 mile to San Francisco International Airport (SFO),8.6,Fabulous,Pool,Parking available,Pet-friendly,Airport transfer,$129 ,Suburban hotel in Millbrae with indoor pool and bar/lounge,Room 1 King Bed Non Smoking
Vagabond Inn Executive San Francisco Airport,https://exp.cdn-hotels.com/hotels/1000000/50000/40500/40443/f6f759a4_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1640 Old Bayshore Hwy Burlingame 94010 CA,Burlingame,13 miles to city center,1.6 miles to San Francisco International Airport (SFO),,Good,Free parking,Pet-friendly,Airport transfer,Bathtub,$88 ,Beachfront hotel within easy reach of Millbrae Square Shopping Center,Standard Room 1 King Bed
Howard Johnson by Wyndham San Francisco Marina District,https://exp.cdn-hotels.com/hotels/1000000/20000/19100/19035/8560b427_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1940 Lombard St San Francisco 94123 CA,Cow Hollow,1.6 miles to city center,13 miles to San Francisco International Airport (SFO),,Good,Free parking,Free breakfast,Bathtub,,$101 ,City-center hotel within easy reach of Fort Mason,Room 1 King Bed Non Smoking
The Dylan at SFO,https://exp.cdn-hotels.com/hotels/1000000/30000/24300/24251/47630b7b_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,110 S El Camino Real Millbrae 94030 CA,Millbrae,13 miles to city center,1.2 miles to San Francisco International Airport (SFO),8.8,Fabulous,Free parking,Pet-friendly,Airport transfer,Bar,$114 ,Suburban hotel with bar/lounge near Mills-Peninsula Medical Center ,Traditional Room 1 Queen Bed
San Francisco Inn,https://exp.cdn-hotels.com/hotels/1000000/20000/14600/14553/0df966ba_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,385 9th St San Francisco 94103 CA,South of Market,1.0 mile to city center,11 miles to San Francisco International Airport (SFO),,Good,Free parking,,,,$80 ,Convenient to Moscone Convention Center,Room 1 Queen Bed Non Smoking
Sonesta ES Suites San Francisco Airport Oyster Point,https://exp.cdn-hotels.com/hotels/1000000/530000/524200/524164/f3b759ef_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1350 Veterans Way South San Francisco 94080 CA,Oyster Point,8.4 miles to city center,3.5 miles to San Francisco International Airport (SFO),8.4,Very Good,Pool,Parking available,Pet-friendly,Airport transfer,$159 ,3-star South San Francisco hotel with outdoor pool,Deluxe Room 1 Queen Bed with Sofa bed (Studio)
Fairmont San Francisco,https://exp.cdn-hotels.com/hotels/1000000/20000/18200/18200/022f68c7_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,950 Mason Street Atop Nob Hill San Francisco 94108 CA,Nob Hill,0.4 miles to city center,12 miles to San Francisco International Airport (SFO),8.8,Fabulous,Parking available,Pet-friendly,Spa,Gym,$377 ,Luxury hotel with 2 restaurants near Lombard Street ,Fairmont Exterior Room 1 King Bed City View
Grant Hotel,https://exp.cdn-hotels.com/hotels/1000000/910000/907700/907617/44c99f50_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,753 Bush St San Francisco 94108 CA,Union Square,0.2 miles to city center,12 miles to San Francisco International Airport (SFO),,Good,Parking available,Bathtub,,,$99 ,City-center hotel within easy reach of SHN Curran Theatre,Room
Grand Hyatt San Francisco Union Square,https://exp.cdn-hotels.com/hotels/1000000/10000/5900/5883/1a73ffca_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,345 Stockton St San Francisco 94108 CA,Union Square,0.1 miles to city center,12 miles to San Francisco International Airport (SFO),8.6,Fabulous,Parking available,Pet-friendly,Gym,Bar,$261 ,4-star hotel with bar/lounge near Moscone Convention Center ,Standard Room 1 King Bed
The Cartwright Hotel - Union Square BW Premier Collection,https://exp.cdn-hotels.com/hotels/1000000/30000/26100/26015/586daa45_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,524 Sutter Street San Francisco 94102 CA,Union Square,0.1 miles to city center,12 miles to San Francisco International Airport (SFO),8.4,Very Good,Pet-friendly,Connecting rooms available,,,$159 ,3.5-star hotel convenient to Lombard Street ,Standard Room 1 Queen Bed Non Smoking
Surf Motel,https://exp.cdn-hotels.com/hotels/2000000/1160000/1155400/1155378/fc7dbd1b_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,2265 Lombard St San Francisco 94123 CA,Cow Hollow,1.9 miles to city center,13 miles to San Francisco International Airport (SFO),,Good,Free parking,Bathtub,,,$72 ,City-center motel within easy reach of Presidio of San Francisco,Standard Room 1 Double Bed Accessible Smoking
Nob Hill Motor Inn,https://exp.cdn-hotels.com/hotels/1000000/900000/890900/890829/23598b57_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1630 Pacific Ave San Francisco 94109 CA,Nob Hill,0.9 miles to city center,13 miles to San Francisco International Airport (SFO),,Good,Free parking,Airport transfer,Internet access,,$79 ,City-center hotel within easy reach of Van Ness Avenue,Superior Room 1 King Bed
Staypineapple An Elegant Hotel Union Square,https://exp.cdn-hotels.com/hotels/1000000/20000/10300/10266/ab1920bc_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,580 Geary St San Francisco 94102 CA,Theater District,0.3 miles to city center,12 miles to San Francisco International Airport (SFO),8.6,Fabulous,Pet-friendly,,,,$182 ,Upscale hotel within easy reach of Grace Cathedral,Room 1 Queen Bed (Persona)
Beresford Arms Hotel,https://exp.cdn-hotels.com/hotels/1000000/10000/2000/1925/b7d5c519_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,701 Post Street San Francisco 94109 CA,Theater District,0.3 miles to city center,12 miles to San Francisco International Airport (SFO),8.8,Fabulous,Parking available,Bathtub,Connecting rooms available,,$119 ,Victorian hotel within easy reach of Golden Gate Theatre,Standard Room
Warwick San Francisco,https://exp.cdn-hotels.com/hotels/1000000/10000/900/876/1fcaaf3e_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,490 Geary St San Francisco 94102 CA,Union Square,0.2 miles to city center,12 miles to San Francisco International Airport (SFO),8.2,Very Good,Parking available,Restaurant,Bar,Bathtub,$125 ,4-star hotel with restaurant near SHN Curran Theatre ,Superior Room 1 Queen Bed
Bay Bridge Inn,https://exp.cdn-hotels.com/hotels/2000000/1350000/1345200/1345121/ed8e7558_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,966 Harrison St San Francisco 94107 CA,South of Market,0.7 miles to city center,11 miles to San Francisco International Airport (SFO),,Good,Free parking,Bathtub,,,$134 ,Convenient to Warfield Theater,Standard Queen Room
Columbus Motor Inn,https://exp.cdn-hotels.com/hotels/14000000/13140000/13137100/13137012/f6e7acd7_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1075 Columbus Ave San Francisco 94123 CA,Russian Hill,1.2 miles to city center,13 miles to San Francisco International Airport (SFO),9.2,Superb,Free parking,Bathtub,Internet access,Connecting rooms available,$198 ,City-center hotel within walking distance of Lombard Street,Standard Room 2 Double Beds
Chateau Tivoli B&B,https://exp.cdn-hotels.com/hotels/2000000/1160000/1154600/1154548/054d0b03_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1057 Steiner Street San Francisco 94115 CA,Western Addition,1.5 miles to city center,12 miles to San Francisco International Airport (SFO),9.4,Exceptional,Connecting rooms available,Connecting rooms available,,,$219 ,B&B convenient to Painted Ladies aimed at LGBTQ guests ,Basic Double Room Shared Bathroom (Joaquin Miller Room)
Geary Parkway Motel,https://exp.cdn-hotels.com/hotels/3000000/2640000/2631600/2631504/dfc0a5a6_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,4750 Geary Blvd San Francisco 94118 CA,Inner Richmond,3.4 miles to city center,12 miles to San Francisco International Airport (SFO),8.6,Fabulous,Free parking,Internet access,,,$90 ,Convenient to Golden Gate Park,Deluxe Room 1 King Bed
Cornell Hotel de France,https://exp.cdn-hotels.com/hotels/2000000/1230000/1222800/1222727/429158ec_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,715 Bush St San Francisco 94108 CA,Union Square,0.2 miles to city center,12 miles to San Francisco International Airport (SFO),9.2,Superb,Parking available,Bathtub,,,$139 ,,
Grant Plaza Hotel,https://exp.cdn-hotels.com/hotels/1000000/810000/803300/803213/6a0c1de1_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,465 Grant Ave San Francisco 94108 CA,Chinatown,0.3 miles to city center,12 miles to San Francisco International Airport (SFO),,Good,Parking available,,,,$98 ,City-center hotel within walking distance of Union Square,Standard Double Room
The Phoenix Hotel,https://exp.cdn-hotels.com/hotels/1000000/20000/14500/14420/378b3ccf_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,601 Eddy St San Francisco 94109 CA,Little Saigon,0.6 miles to city center,12 miles to San Francisco International Airport (SFO),8.6,Fabulous,Pool,Parking available,Pet-friendly,Restaurant,$179 ,3-star hotel with outdoor pool near Van Ness Avenue ,Standard Double Room
The Pickwick Hotel,https://exp.cdn-hotels.com/hotels/1000000/20000/11800/11793/7a515df6_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,85 5th St San Francisco 94103 CA,Downtown San Francisco,0.3 miles to city center,12 miles to San Francisco International Airport (SFO),,Good,Parking available,Gym,Restaurant,Bar,$139 ,3.5-star hotel with restaurant near Westfield San Francisco Centre ,Superior King
SFO Airport Hotel El Rancho Inn BW Signature Collection,https://exp.cdn-hotels.com/hotels/1000000/10000/5800/5798/e6d5a626_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1100 El Camino Real Millbrae 94030 CA,Millbrae,12 miles to city center,0.8 miles to San Francisco International Airport (SFO),8,Very Good,Pool,Free parking,Gym,Free breakfast,$109 ,3-star Millbrae motel with outdoor pool,Standard Room 1 Queen Bed Non Smoking
Hotel 32One,https://exp.cdn-hotels.com/hotels/16000000/15400000/15399300/15399261/fe8aefb7_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,321 Grant Avenue San Francisco 94108 CA,Union Square,0.2 miles to city center,12 miles to San Francisco International Airport (SFO),8.4,Very Good,Bathtub,,,,$131 ,City-center hotel within easy reach of 555 California Street,Standard Room 1 Queen Bed
SeaScape Inn - A FairBridge Hotel,https://exp.cdn-hotels.com/hotels/2000000/1790000/1789300/1789283/529e470d_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,4340 Judah St San Francisco 94122 CA,Outer Sunset,5.8 miles to city center,12 miles to San Francisco International Airport (SFO),,Good,Free parking,Bathtub,,,$123 ,Within easy reach of Golden Gate Park,Deluxe Room 1 King Bed
Hotel Boheme,https://exp.cdn-hotels.com/hotels/1000000/10000/6500/6455/4d001cdf_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,444 Columbus Ave San Francisco 94133 CA,Telegraph Hill,0.8 miles to city center,13 miles to San Francisco International Airport (SFO),9,Superb,,,,,$195 ,3-star hotel within walking distance of Coit Tower,Standard Room 1 Queen Bed
Hotel Majestic,https://exp.cdn-hotels.com/hotels/1000000/20000/16000/15933/7b762024_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1500 Sutter St San Francisco 94109 CA,Lower Pacific Heights,0.9 miles to city center,12 miles to San Francisco International Airport (SFO),8.6,Fabulous,Bathtub,Internet access,,,$139 ,Edwardian hotel within walking distance of The Regency Ballroom,Junior Suite 1 Queen Bed
Hotel Adagio Autograph Collection,https://exp.cdn-hotels.com/hotels/1000000/10000/2500/2406/629077ea_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,550 Geary St San Francisco 94102 CA,Theater District,0.2 miles to city center,12 miles to San Francisco International Airport (SFO),8.6,Fabulous,Parking available,Gym,Restaurant,Bar,$214 ,4-star hotel with restaurant near SHN Curran Theatre ,Room 1 Queen Bed Non Smoking
Hotel Kabuki part of JdV by Hyatt,https://exp.cdn-hotels.com/hotels/1000000/10000/1100/1003/d13a55c6_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1625 Post St San Francisco 94115 CA,Japantown,1.1 miles to city center,12 miles to San Francisco International Airport (SFO),9,Superb,Parking available,Pet-friendly,Gym,Restaurant,$289 ,4-star hotel with 1 restaurants connected to a shopping center near Fillmore Auditorium,Room 1 Queen Bed Accessible (Shower)
Hotel Sunrise,https://exp.cdn-hotels.com/hotels/19000000/18530000/18529100/18529082/6f697cf7_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,447 Valencia St San Francisco 94103 CA,Mission Dolores,1.7 miles to city center,11 miles to San Francisco International Airport (SFO),,Good,,,,,$64 ,Within easy reach of Van Ness Avenue,Economy Room 1 Double Bed Private Bathroom
Gateway Inn & Suites San Francisco (SFO) Airport,https://exp.cdn-hotels.com/hotels/2000000/1180000/1171100/1171078/acbf3bbd_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,516 El Camino Real San Bruno 94066 CA,San Bruno,11 miles to city center,1.5 miles to San Francisco International Airport (SFO),8,Very Good,Free parking,Internet access,Connecting rooms available,,$107 ,San Bruno hotel in city center,Standard Room 1 King Bed
Travelodge by Wyndham San Francisco Bay,https://exp.cdn-hotels.com/hotels/1000000/40000/34800/34731/209d54e3_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1450 Lombard St San Francisco 94123 CA,Cow Hollow,1.3 miles to city center,13 miles to San Francisco International Airport (SFO),,Good,Parking available,Restaurant,Bar,Connecting rooms available,$132 ,Motel with restaurant near Lombard Street ,Room 1 Queen Bed Non Smoking
Hotel Griffon,https://exp.cdn-hotels.com/hotels/1000000/30000/23700/23634/aaed4375_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,155 Steuart St San Francisco 94105 CA,South Beach,0.9 miles to city center,12 miles to San Francisco International Airport (SFO),8.4,Very Good,Gym,Restaurant,Bathtub,,$207 ,Bayfront hotel with restaurant near Ferry Building Marketplace ,Deluxe Room 1 King Bed
The Bartlett Hotel and Guesthouse,https://exp.cdn-hotels.com/hotels/2000000/1220000/1217300/1217270/dda75638_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,240 O'Farrell St San Francisco 94102 CA,Union Square,0.1 miles to city center,12 miles to San Francisco International Airport (SFO),,Good,Restaurant,Bar,Bathtub,,$89 ,Hotel with restaurant near SHN Curran Theatre ,Bartlett Economy Queen Hall Bath
Hyatt Place San Francisco Downtown,https://exp.cdn-hotels.com/hotels/32000000/31420000/31419900/31419890/a6280c82_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,701 3rd St San Francisco 94107 CA,China Basin,1.0 mile to city center,11 miles to San Francisco International Airport (SFO),8.2,Very Good,Parking available,,,,$319 ,3-star hotel within walking distance of Oracle Park,Room 2 Queen Beds Accessible Bathtub
Embassy Hotel,https://exp.cdn-hotels.com/hotels/1000000/130000/120300/120268/fc779356_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,610 Polk St San Francisco 94102 CA,Tenderloin,0.7 miles to city center,12 miles to San Francisco International Airport (SFO),,Good,Parking available,Airport transfer,,,$118 ,Art Deco hotel within walking distance of San Francisco City Hall,
Axiom Hotel San Francisco,https://exp.cdn-hotels.com/hotels/1000000/30000/23600/23581/123af559_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,28 Cyril Magnin Street San Francisco 94102 CA,Downtown San Francisco,0.2 miles to city center,12 miles to San Francisco International Airport (SFO),8.4,Very Good,Parking available,Pet-friendly,Gym,Restaurant,$229 ,4-star hotel with restaurant near Westfield San Francisco Centre ,Petite 1 Queen
Coventry Motor Inn,https://exp.cdn-hotels.com/hotels/2000000/1240000/1236300/1236249/fc322f8c_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1901 Lombard Street San Francisco 94123 CA,Cow Hollow,1.6 miles to city center,13 miles to San Francisco International Airport (SFO),8.4,Very Good,Free parking,Bathtub,Internet access,Connecting rooms available,$112 ,Within easy reach of Union Street,Standard Room 1 King Bed
Touchstone Hotel - City Center,https://exp.cdn-hotels.com/hotels/58000000/57100000/57097500/57097424/e38817fa_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,480 Geary St San Francisco 94102 CA,Union Square,0.2 miles to city center,12 miles to San Francisco International Airport (SFO),8.2,Very Good,Parking available,Connecting rooms available,,,$85 ,City-center hotel within walking distance of Union Square,Standard Twin Room
Mirage Inn and Suites,https://exp.cdn-hotels.com/hotels/1000000/20000/19000/18962/fb1a8a6e_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,2600 Sloat Blvd San Francisco 94116 CA,Parkside,6.3 miles to city center,10 miles to San Francisco International Airport (SFO),,Good,Free parking,Bathtub,,,$110 ,Walking distance from San Francisco Zoo,Standard Room 1 King Bed Accessible
The Utah Inn,https://exp.cdn-hotels.com/hotels/9000000/8770000/8766600/8766561/4427e83f_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,500 4th Street San Francisco 94107 CA,China Basin,0.8 miles to city center,11 miles to San Francisco International Airport (SFO),,,Airport transfer,Restaurant,,,$59 ,Inn with restaurant near Oracle Park ,Standard Room 1 Double Bed Shared Bathroom
Hyatt Centric Fisherman's Wharf San Francisco,https://exp.cdn-hotels.com/hotels/1000000/30000/22500/22500/a0f4e1a5_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,555 N Point St San Francisco 94133 CA,Fisherman's Wharf,1.4 miles to city center,13 miles to San Francisco International Airport (SFO),8.2,Very Good,Pool,Parking available,Pet-friendly,Gym,$217 ,4-star hotel with outdoor pool near Ghirardelli Square ,Room 2 Double Beds
Hyatt Regency San Francisco Airport,https://exp.cdn-hotels.com/hotels/1000000/30000/26500/26500/abc06169_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1333 Bayshore Hwy Burlingame 94010 CA,Burlingame,14 miles to city center,2.0 miles to San Francisco International Airport (SFO),8.4,Very Good,Pool,Parking available,Pet-friendly,Airport transfer,$179 ,4-star hotel in Burlingame with outdoor pool and restaurant,Guest Room 2 Queen Beds
Hampton Inn San Francisco Downtown/Convention Center,https://exp.cdn-hotels.com/hotels/9000000/8650000/8647200/8647196/88f3383d_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,942 Mission Street San Francisco 94103 CA,Mid-Market,0.4 miles to city center,12 miles to San Francisco International Airport (SFO),8.2,Very Good,Parking available,Gym,Free breakfast,Internet access,$199 ,City-center hotel within walking distance of Warfield Theater,Room 1 King Bed Non Smoking
The Andrews Hotel,https://exp.cdn-hotels.com/hotels/1000000/430000/425100/425098/a054b93d_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,624 Post St San Francisco 94109 CA,Theater District,0.2 miles to city center,12 miles to San Francisco International Airport (SFO),8.4,Very Good,Restaurant,Bar,Bathtub,,$109 ,3-star hotel with restaurant near Asian Art Museum of San Francisco ,Standard Room 1 Queen Bed (Comfy)
Union Square Plaza Hotel,https://exp.cdn-hotels.com/hotels/1000000/90000/84600/84522/35d2e7fb_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,432 Geary St San Francisco 94102 CA,Union Square,0.1 miles to city center,12 miles to San Francisco International Airport (SFO),,Good,Airport transfer,Bathtub,,,$86 ,City-center hotel within easy reach of SHN Curran Theatre,One Double Bed
Hotel Zeppelin San Francisco a Viceroy Urban Retreat,https://exp.cdn-hotels.com/hotels/1000000/10000/5900/5875/7f1a4cb7_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,545 Post St San Francisco 94102 CA,Union Square,0.1 miles to city center,12 miles to San Francisco International Airport (SFO),8.2,Very Good,Parking available,Pet-friendly,Gym,Restaurant,$285 ,4-star hotel with restaurant near SHN Curran Theatre ,Superior Queen
Taj Campton Place,https://exp.cdn-hotels.com/hotels/1000000/30000/23400/23383/068a482b_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,340 Stockton St San Francisco 94108 CA,Union Square,0.1 miles to city center,12 miles to San Francisco International Airport (SFO),9.2,Superb,Parking available,Pet-friendly,Gym,Restaurant,$300 ,Luxury hotel with bar/lounge near SHN Curran Theatre ,California Room 1 King Bed
Hotel Nova SFO by FairBridge,https://exp.cdn-hotels.com/hotels/1000000/440000/438800/438727/7b1bdb8a_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,410 S Airport Blvd South San Francisco 94080 CA,South San Francisco,10 miles to city center,2.0 miles to San Francisco International Airport (SFO),8.4,Very Good,Parking available,Gym,Free breakfast,Bathtub,$88 ,No-frills hotel in South San Francisco,Standard Room 1 Queen Bed Non Smoking
Hotel Focus SFO,https://exp.cdn-hotels.com/hotels/1000000/530000/522600/522505/03e99609_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,111 Mitchell Ave South San Francisco 94080 CA,The East Side,9.5 miles to city center,2.5 miles to San Francisco International Airport (SFO),,Good,Parking available,Pet-friendly,Airport transfer,Gym,$89 ,3-star hotel within walking distance of South San Francisco Convention Center,Room 1 Queen Bed (Pan Pacific)
Hotel North Beach,https://exp.cdn-hotels.com/hotels/2000000/1160000/1154600/1154559/a6d4d3b2_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,935 Kearny Street San Francisco 94133 CA,Chinatown,0.7 miles to city center,13 miles to San Francisco International Airport (SFO),,Good,Airport transfer,,,,$47 ,City-center hotel within walking distance of Embarcadero Center,Shared Bathroom in Hallway 1 Double Bed Standard Room
The Herbert Hotel,https://exp.cdn-hotels.com/hotels/1000000/210000/205300/205296/e8af0f60_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,161 Powell Street San Francisco 94102 CA,Union Square,0.1 miles to city center,12 miles to San Francisco International Airport (SFO),,Good,Connecting rooms available,,,,$94 ,City-center hotel within walking distance of Warfield Theater,Economy Room 1 Queen Bed Hallway Bathroom
Four Seasons Hotel San Francisco,https://exp.cdn-hotels.com/hotels/1000000/800000/791800/791769/b6199a8f_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,757 Market St San Francisco 94103 CA,Union Square,0.2 miles to city center,12 miles to San Francisco International Airport (SFO),9.4,Exceptional,Pool,Pool,Parking available,Pet-friendly,$730 ,Luxury hotel with spa near Westfield San Francisco Centre ,Superior Room 1 King Bed
Ramada Limited San Francisco Airport North,https://exp.cdn-hotels.com/hotels/1000000/800000/790600/790530/021a5e69_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,721 Airport Blvd South San Francisco 94080 CA,Downtown South San Francisco,8.9 miles to city center,3.1 miles to San Francisco International Airport (SFO),,Good,Parking available,Airport transfer,Free breakfast,Bathtub,$125 ,South San Francisco suburban guestrooms with comfy beds,Business Room 1 King Bed Non Smoking
Hotel Ikon,https://exp.cdn-hotels.com/hotels/19000000/18400000/18399900/18399835/62363321_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,325 Sutter Street San Francisco 94108 CA,Union Square,0.2 miles to city center,12 miles to San Francisco International Airport (SFO),,Good,Airport transfer,Bathtub,,,$108 ,Convenient to 555 California Street,Standard Room 1 Double Bed Private Bathroom
Travelodge by Wyndham San Francisco Airport North,https://exp.cdn-hotels.com/hotels/1000000/20000/17000/16955/01b9a6be_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,326 S Airport Blvd South San Francisco 94080 CA,South San Francisco,9.8 miles to city center,2.2 miles to San Francisco International Airport (SFO),,Good,Pool,Parking available,Airport transfer,Restaurant,$59 ,South San Francisco motel with outdoor pool and restaurant,Superior Room 2 Queen Beds
InterContinental Mark Hopkins an IHG Hotel,https://exp.cdn-hotels.com/hotels/1000000/30000/24700/24620/caeac47f_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,999 California Street San Francisco 94108 CA,Nob Hill,0.3 miles to city center,12 miles to San Francisco International Airport (SFO),8.6,Fabulous,Parking available,Pet-friendly,Gym,Restaurant,$259 ,4-star hotel with restaurant near Grace Cathedral ,Deluxe Room
Townhouse Motel,https://exp.cdn-hotels.com/hotels/23000000/22700000/22692200/22692131/6d30e584_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1650 Lombard St San Francisco 94123 CA,Marina District,1.5 miles to city center,13 miles to San Francisco International Airport (SFO),,Good,Free parking,,,,$79 ,Convenient to Lombard Street,Standard Room 1 King Bed
SOMA Park Inn – Civic Center,https://exp.cdn-hotels.com/hotels/1000000/50000/41900/41832/30fc0f9b_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,101 9th St San Francisco 94103 CA,South of Market,0.8 miles to city center,11 miles to San Francisco International Airport (SFO),,Good,Parking available,,,,$132 ,Walking distance from Orpheum Theater,Standard Room 1 Queen Bed Non Smoking
Alpine Inn And Suites,https://exp.cdn-hotels.com/hotels/2000000/1130000/1124400/1124308/9b0b03cb_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,560 Carter St Daly City 94014 CA,Bayshore Heights,5.5 miles to city center,6.7 miles to San Francisco International Airport (SFO),,Good,Free parking,,,,$84 ,No-frills hotel in Daly City,Standard Room 1 Queen Bed
Inn By The SFO,https://exp.cdn-hotels.com/hotels/2000000/1140000/1139300/1139289/5b3c4a86_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,701 Airport Blvd South San Francisco 94080 CA,Downtown South San Francisco,8.9 miles to city center,3.1 miles to San Francisco International Airport (SFO),,Good,Free parking,Free breakfast,Bathtub,Internet access,$73 ,No-frills South San Francisco guestrooms with comfy beds,Single Room 1 King Bed
Four Seasons Hotel San Francisco at Embarcadero,https://exp.cdn-hotels.com/hotels/1000000/10000/6600/6505/61f93c42_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,222 Sansome St San Francisco 94104 CA,Financial District,0.5 miles to city center,12 miles to San Francisco International Airport (SFO),9.4,Exceptional,Parking available,Pet-friendly,Gym,Connecting rooms available,$755 ,Luxury hotel with 24-hour fitness near 555 California Street ,Superior Room 1 Queen Bed Non Smoking City View
Mylo Hotel,https://exp.cdn-hotels.com/hotels/8000000/8000000/7995400/7995349/4357d302_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,3211 Geneva Avenue Daly City 94014 CA,Daly City,5.7 miles to city center,6.3 miles to San Francisco International Airport (SFO),,Good,Parking available,Bathtub,Internet access,,$78 ,No-frills motel in Daly City,Standard Room 1 Queen Bed
